"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",121,"574","logsigma",2009,0.0200633115874105
"106",141,"574","logsigma",2009,0.0200633115874105
"106",121,"577","logsigma",2009,0.0200633115874123
"106",141,"577","logsigma",2009,0.0200633115874105
"106",141,"603","logsigma",2009,0.0200633115874123
"106",121,"619","logsigma",2009,0.0200633115874105
"106",141,"619","logsigma",2009,0.0200633115874105
"106",111,"71","logsigma",2009,0.0200633115874123
"106",121,"71","logsigma",2009,NA
"106",111,"75","logsigma",2009,0.020063311587414
"106",121,"75","logsigma",2009,0.0200633115874105
"106",111,"83","logsigma",2009,0.0200633115874123
"106",121,"83","logsigma",2009,0.0200633115874123
"106",121,"866","logsigma",2009,0.0200633115874105
"106",141,"882","logsigma",2009,0.020063311587414
"106",121,"976","logsigma",2009,0.020063311587414
"106",141,"982","logsigma",2009,0.0200633115874105
"106",101,"101","alpha",2009,49.343892426431
"106",101,"1020","alpha",2009,49.343892426431
"106",101,"108","alpha",2009,49.3438924264311
"106",101,"116","alpha",2009,49.343892426431
"106",101,"122","alpha",2009,49.343892426431
"106",101,"149","alpha",2009,49.3438924264311
"106",101,"15","alpha",2009,49.343892426431
"106",101,"157","alpha",2009,49.343892426431
"106",101,"181","alpha",2009,49.343892426431
"106",101,"187","alpha",2009,49.343892426431
"106",101,"205","alpha",2009,49.343892426431
"106",101,"210","alpha",2009,49.343892426431
"106",101,"236","alpha",2009,49.343892426431
"106",101,"267","alpha",2009,49.343892426431
"106",101,"270","alpha",2009,NA
"106",101,"44","alpha",2009,49.343892426431
"106",101,"461","alpha",2009,49.3438924264311
"106",101,"463","alpha",2009,49.343892426431
"106",101,"56","alpha",2009,49.343892426431
"106",101,"71","alpha",2009,49.343892426431
"106",101,"75","alpha",2009,49.343892426431
"106",101,"79","alpha",2009,49.343892426431
"106",101,"83","alpha",2009,49.3438924264311
"106",101,"882","alpha",2009,49.343892426431
"106",101,"951","alpha",2009,49.343892426431
"106",101,"982","alpha",2009,49.343892426431
"106",101,"101","beta",2009,0.00836337159770018
"106",101,"1020","beta",2009,0.0123359731066078
"106",101,"108","beta",2009,0.00163867868047393
